"id_es","chr_authorname","id_study","chr_country","is_USA","chr_language","is_English","is_school_context","is_article","is_RCT","id_sample","id_condition","cat_M_type","cat_R_type","cat_condition_type","chr_condition_name","chr_grade","is_secondary","ave_age","pct_struggle_reader","pct_disability","pct_lowSES","pct_SLL","pct_boy","pct_minority","is_scripted","is_small_group","is_school_staff","num_dosage_total","num_dosage_session_num","num_dosage_session_length","is_fidelity","chr_measure_name","is_measure_std","m_pre","sd_pre","n_pre","m_post","sd_post","n_post","m_delayed","sd_delayed","n_delayed","num_month_of_delayed","r_pre_post","r_pre_delay"
2,"Orkin et al., 2017","101","USA","USA","English","English","After school Program","peer reviewed paper","RCT","101","101Ncm","N","cm","1","Intervention group","2.71","Elementary",8.42,1,"0.91666666666666663",NA,NA,0.416666666666667,NA,"Yes (Including CAI)","small group (3–7 students)","School Staff",3000,25,120,"Reported","SRI PC = Standard Reading Inventory, Passage Comprehension;","YES - standardized",8.17,2.51,24,9.54,2.93,24,NA,NA,NA,NA,NA,NA
3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"101","101cm",NA,"cm","ctl","Control group","1.83","Elementary",7.96,1,"0.95652173913043481",NA,NA,0.478260869565217,NA,"Yes (Including CAI)","small group (3–7 students)","School Staff",3000,25,120,"Reported","SRI PC = Standard Reading Inventory, Passage Comprehension;","YES - standardized",8,2.24,23,8.17,2.31,23,NA,NA,NA,NA,NA,NA
4,"Toste et al., 2019","102","USA","USA","English","English","School Environment","peer reviewed paper","RCT","102","102c",NA,"c","1","MWR","4, 5","Elementary",10,1,NA,0.88235294117647,0.117647058823529,0.529411764705882,0.941176470588235,"Yes (Including CAI)","small group (3–7 students)","Research Staff",1600,40,40,"Reported","WJIII PC","YES - standardized",88.91,8.96,34,88.91,8.91,34,NA,NA,NA,NA,NA,NA
5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GMRT-RC","YES - standardized",88.86,12.3,34,91.98,9.34,34,NA,NA,NA,NA,NA,NA
6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"102","102GTc","GT","c","2","MWR+MB","4, 5","Elementary",9.92105263157895,1,NA,0.894736842105263,0.31578947368421,0.473684210526316,0.973684210526316,"Yes (Including CAI)","small group (3–7 students)","Research Staff",1600,40,40,"Reported","WJIII PC","YES - standardized",86.79,6.96,38,91.16,7.53,38,NA,NA,NA,NA,NA,NA
7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GMRT-RC","YES - standardized",89.3,10.49,38,91.88,6.38,38,NA,NA,NA,NA,NA,NA
8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"102","102bau",NA,NA,"ctl","BAU","4, 5","Elementary",9.95945945945946,1,NA,0.918918918918919,0.351351351351351,0.45945945945946,0.972972972972973,NA,NA,NA,NA,NA,NA,NA,"WJIII PC","YES - standardized",87.19,6.97,37,89.06,6.59,36,NA,NA,NA,NA,NA,NA
9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GMRT-RC","YES - standardized",91.31,9.97,36,90.8,7.82,36,NA,NA,NA,NA,NA,NA
10,"Toste et al., 2017","103","USA","USA","English","English","School Environment","peer reviewed paper","RCT","103","103c",NA,"c","2","MWR only","3, 4","Elementary",8.83898305084746,1,NA,0.6875,NA,0.491525423728814,0.9125,"Yes (Including CAI)","small group (3–7 students)","Research Staff",840,24,35,"Reported","WRAT4 - Sentence comprehension","YES - standardized",98.33,10.6,18,97.17,7.9,18,NA,NA,NA,NA,NA,NA
11,NA,NA,NA,NA,NA,NA,NA,NA,NA,"103","103Tc","T","c","1","MWR + MB","3, 4","Elementary",8.83898305084746,1,NA,0.6875,NA,0.491525423728814,0.9125,"Yes (Including CAI)","small group (3–7 students)","Research Staff",960,24,40,"Reported","WRAT4 - Sentence comprehension","YES - standardized",94.89,9.64,19,100.47,9.97,19,NA,NA,NA,NA,NA,NA
12,NA,NA,NA,NA,NA,NA,NA,NA,NA,"103","103bau",NA,NA,"ctl","BAU","3, 4","Elementary",8.83898305084746,1,NA,0.6875,NA,0.491525423728814,0.9125,NA,NA,NA,NA,NA,NA,NA,"WRAT4 - Sentence comprehension","YES - standardized",90.36,10.61,22,94.91,14.33,21,NA,NA,NA,NA,NA,NA
13,"Berkeley et al., 2011","104","USA","USA","English","English","School Environment","peer reviewed paper","RCT","104","104NTm","NT","m","1","RCS + AR","7, 8, 9","Secondary",14.7375,1,"1",NA,0.3,0.75,0.75,"Yes (Including CAI)","small group (3–7 students)","Research Staff",360,12,30,"Reported","Summary test","NO - Not standardized",3.8,1.28,20,7.5,2.18,20,"6.61",2.91,20,1.5,NA,NA
14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Passage test","NO - Not standardized",6.55,2.28,20,8.95,3.49,20,"9.5299999999999994",4.01,20,1.5,NA,NA
15,NA,NA,NA,NA,NA,NA,NA,NA,NA,"104","104Nm","N","m","2","RCS","7, 8, 9","Secondary",14.7375,1,"1",NA,0.421052631578947,0.578947368421053,0.947368421052632,"Yes (Including CAI)","small group (3–7 students)","School Staff",360,12,30,"Reported","Summary test","NO - Not standardized",3.61,1.72,19,6.4,1.81,19,"5.47",2.72,19,1.5,NA,NA
16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Passage test","NO - Not standardized",5.89,2.16,19,7.84,3.83,19,"8.6300000000000008",4.87,19,1.5,NA,NA
17,NA,NA,NA,NA,NA,NA,NA,NA,NA,"104","104Gcm","G","cm","ctl","RN","7, 8, 9","Secondary",14.7375,1,"1",NA,0.45,0.7,0.95,"Yes (Including CAI)","small group (3–7 students)","School Staff",360,12,30,"Reported","Summary test","NO - Not standardized",3.95,1.46,20,4.83,1.52,20,"4",1.4,20,1.5,NA,NA
