"id_sample","id_condition","cat_condition_type","id_es","chr_measure_name","is_measure_std","m_pre","sd_pre","n_pre","m_post","sd_post","n_post","m_delayed","sd_delayed","n_delayed","num_month_of_delayed","r_pre_post","r_pre_delay"
"101","101Ncm","1","2","SRI PC = Standard Reading Inventory, Passage Comprehension;","YES - standardized",8.17,2.51,24,9.54,2.93,24,NA,NA,NA,NA,NA,NA
"101","101cm","ctl","3","SRI PC = Standard Reading Inventory, Passage Comprehension;","YES - standardized",8,2.24,23,8.17,2.31,23,NA,NA,NA,NA,NA,NA
"102","102c","1","4","WJIII PC","YES - standardized",88.91,8.96,34,88.91,8.91,34,NA,NA,NA,NA,NA,NA
"102","102c","1","5","GMRT-RC","YES - standardized",88.86,12.3,34,91.98,9.34,34,NA,NA,NA,NA,NA,NA
"102","102GTc","2","6","WJIII PC","YES - standardized",86.79,6.96,38,91.16,7.53,38,NA,NA,NA,NA,NA,NA
"102","102GTc","2","7","GMRT-RC","YES - standardized",89.3,10.49,38,91.88,6.38,38,NA,NA,NA,NA,NA,NA
"102","102bau","ctl","8","WJIII PC","YES - standardized",87.19,6.97,37,89.06,6.59,36,NA,NA,NA,NA,NA,NA
"102","102bau","ctl","9","GMRT-RC","YES - standardized",91.31,9.97,36,90.8,7.82,36,NA,NA,NA,NA,NA,NA
"103","103c","2","10","WRAT4 - Sentence comprehension","YES - standardized",98.33,10.6,18,97.17,7.9,18,NA,NA,NA,NA,NA,NA
"103","103Tc","1","11","WRAT4 - Sentence comprehension","YES - standardized",94.89,9.64,19,100.47,9.97,19,NA,NA,NA,NA,NA,NA
"103","103bau","ctl","12","WRAT4 - Sentence comprehension","YES - standardized",90.36,10.61,22,94.91,14.33,21,NA,NA,NA,NA,NA,NA
"104","104NTm","1","13","Summary test","NO - Not standardized",3.8,1.28,20,7.5,2.18,20,6.61,2.91,20,1.5,NA,NA
"104","104NTm","1","14","Passage test","NO - Not standardized",6.55,2.28,20,8.95,3.49,20,9.53,4.01,20,1.5,NA,NA
