"id_sample","id_condition","cat_M_type","cat_R_type","cat_condition_type","chr_condition_name","is_scripted","is_small_group","is_school_staff","num_dosage_total","num_dosage_session_num","num_dosage_session_length","is_fidelity"
"101","101Ncm","N","cm","1","Intervention group","Yes (Including CAI)","small group (3–7 students)","School Staff",3000,25,120,"Reported"
"101","101cm",NA,"cm","ctl","Control group","Yes (Including CAI)","small group (3–7 students)","School Staff",3000,25,120,"Reported"
"102","102c",NA,"c","1","MWR","Yes (Including CAI)","small group (3–7 students)","Research Staff",1600,40,40,"Reported"
"102","102GTc","GT","c","2","MWR+MB","Yes (Including CAI)","small group (3–7 students)","Research Staff",1600,40,40,"Reported"
"102","102bau",NA,NA,"ctl","BAU",NA,NA,NA,NA,NA,NA,NA
"103","103c",NA,"c","2","MWR only","Yes (Including CAI)","small group (3–7 students)","Research Staff",840,24,35,"Reported"
"103","103Tc","T","c","1","MWR + MB","Yes (Including CAI)","small group (3–7 students)","Research Staff",960,24,40,"Reported"
"103","103bau",NA,NA,"ctl","BAU",NA,NA,NA,NA,NA,NA,NA
"104","104NTm","NT","m","1","RCS + AR","Yes (Including CAI)","small group (3–7 students)","Research Staff",360,12,30,"Reported"
"104","104Nm","N","m","2","RCS","Yes (Including CAI)","small group (3–7 students)","School Staff",360,12,30,"Reported"
"104","104Gcm","G","cm","ctl","RN","Yes (Including CAI)","small group (3–7 students)","School Staff",360,12,30,"Reported"
"105","105Gm","G","m","1","T - Process Goal","Yes (Including CAI)","small group (3–7 students)","Research Staff",525,15,35,"Reported"
"105","105Gm","G","m","2","T - Product Goal","Yes (Including CAI)","small group (3–7 students)","Research Staff",525,15,35,"Reported"
"105","105m",NA,"m","ctl","C -general goal","Yes (Including CAI)","small group (3–7 students)","Research Staff",525,15,35,"Reported"
"107","107Tm","T","m","1","RS + Complex Attribution","No / Not reported","small group (3–7 students)","Research Staff",NA,5,NA,"Not reported"
"107","107Tm","T","m","2","RS+Attribution","No / Not reported","small group (3–7 students)","Research Staff",NA,5,NA,"Not reported"
"107","107m",NA,"m","3","Attribution C (Control)","No / Not reported","small group (3–7 students)","Research Staff",NA,5,NA,"Not reported"
"107","107bau",NA,NA,"ctl","RS Control","No / Not reported","small group (3–7 students)","Research Staff",NA,5,NA,"Not reported"
"108","108Ncm","N","cm","1","Int.  n = 462","No / Not reported","classroom/ large group","School Staff",7448.1,540,41.3783333333333,"Reported"
"108","108bau",NA,NA,"ctl","Con.  n = 389",NA,NA,NA,NA,NA,NA,NA
"109_1","109_1Ncm","N","cm","1","Grade 6 Int. 605","No / Not reported","classroom/ large group","School Staff",9519.525,720,52.88625,"Reported"
"109_1","109_1bau",NA,NA,"ctl","Grade 6 Con. 530",NA,NA,NA,NA,NA,NA,NA
"109_2","109_2Ncm","N","cm","1","Grade 9 Int. 593","No / Not reported","classroom/ large group","School Staff",9519.525,720,52.88625,"Reported"
"109_2","109_2bau",NA,NA,"ctl","Grade 9 Con. 535",NA,NA,NA,NA,NA,NA,NA
"110","110NVGm","NVG","m","1","TLS-e-mail （motivation)","No / Not reported","classroom/ large group","School Staff",1860,6,60,"Not reported"
"110","110m",NA,"m","2","TLS-only","No / Not reported","classroom/ large group","School Staff",1800,6,60,"Not reported"
"110","110bau",NA,NA,"ctl","Control group",NA,NA,NA,NA,NA,NA,NA
"111","111Nm","N","m","1","CORI","No / Not reported","classroom/ large group","School Staff",4000,80,50,"Not reported"
"111","111bau",NA,NA,"ctl","Control",NA,NA,NA,NA,NA,NA,NA
"112","112Nm","N","m","1","PBL + ‘Who reads this’","Yes (Including CAI)","classroom/ large group","School Staff",NA,40,NA,"Reported"
"112","112m",NA,"m","ctl","Control = ‘Who reads this’",NA,NA,NA,NA,NA,NA,NA
"113","113Nm","N","m","1","CORI (5t, 2school)","No / Not reported","classroom/ large group","School Staff",5400,60,90,"Reported"
"113","113m",NA,"m","2","SI (7t, 2school)","No / Not reported","classroom/ large group","School Staff",5400,60,90,"Reported"
"113","113bau",NA,NA,"ctl","TI (3t, 1school)",NA,NA,NA,NA,NA,NA,NA
"114","114Ncm","N","cm","1","IG (CORI adapted)","No / Not reported","classroom/ large group","School Staff",10800,120,45,"Not reported"
"114","114bau",NA,NA,"ctl","Control Group",NA,NA,NA,NA,NA,NA,NA
"115","115NVm","NV","m","1","ERCI (103)","No / Not reported","classroom/ large group","School Staff",4050,90,45,"Reported"
"115","115bau",NA,NA,"ctl","BAU (113)",NA,NA,NA,NA,NA,NA,NA
"117","117Nm","N","m","1","CORI (4)","No / Not reported","classroom/ large group","School Staff",5400,60,90,"Reported"
"117","117m",NA,"m","ctl","SI (6)","No / Not reported","classroom/ large group","School Staff",5400,60,90,"Reported"
"118","118Nm","N","m","1","CORI (9)","No / Not reported","classroom/ large group","School Staff",5400,60,90,"Reported"
"118","118Nm","N","m","2","SI (11)","No / Not reported","classroom/ large group","School Staff",5400,60,90,"Reported"
"118","118bau","N",NA,"ctl","TI (4)","No / Not reported","classroom/ large group","School Staff",5400,60,90,"Reported"
"119","119NGcm","NG","cm","1","RT Goal","No / Not reported","small group (3–7 students)","School Staff",720,8,90,"Reported"
"119","119Ncm","N","cm","2","RT Practice","No / Not reported","small group (3–7 students)","School Staff",720,8,90,"Reported"
"119","119bau",NA,NA,"ctl","Control",NA,NA,NA,NA,NA,NA,NA
"120","120NGm","NG","m","1","MORE","No / Not reported","classroom/ large group","School Staff",600,10,60,"Reported"
"120","120bau",NA,NA,"ctl","TI",NA,NA,NA,NA,NA,NA,NA
"121","121NGm","NG","m","1","Int1 –  jigsaw approach","No / Not reported","small group (3–7 students)","School Staff",300,5,60,"Not reported"
"121","121Nm","N","m","2","Int2 – drama approach","No / Not reported","small group (3–7 students)","School Staff",300,5,60,"Not reported"
"121","121bau",NA,NA,"ctl","Control group – Direct instruction with teacher-led whole-class practices.",NA,NA,NA,NA,NA,NA,NA
"123","123Nm","N","m","1","USHER (Sequence A)","No / Not reported","classroom/ large group","School Staff",1187.5,25,47.5,"Reported"
"123","123bau",NA,NA,"ctl","BAU",NA,NA,NA,NA,NA,NA,NA
"124","124Nm","N","m","1","CG n = 168","No / Not reported","classroom/ large group","School Staff",640,16,40,"Reported"
"124","124bau",NA,NA,"ctl","EG n = 174",NA,NA,NA,NA,NA,NA,NA
"125_1","125_1Nm","N","m","1","CORI,Grade 3,Pond","No / Not reported","classroom/ large group","School Staff",9000,150,60,"Reported"
"125_1","125_1m",NA,"m","ctl","TI,Grade 3,Pond","No / Not reported","classroom/ large group","School Staff",NA,NA,NA,NA
"125_2","125_2Nm","N","m","1","CORI,Grade 3,Volcano","No / Not reported","classroom/ large group","School Staff",9000,150,60,"Reported"
"125_2","125_2m",NA,"m","ctl","TI,Grade 3,Volcano","No / Not reported","classroom/ large group","School Staff",NA,NA,NA,NA
"125_3","125_3Nm","N","m","1","CORI,Grade 5,Pond","No / Not reported","classroom/ large group","School Staff",7200,120,60,"Reported"
"125_3","125_3m",NA,"m","ctl","TI,Grade 5,Pond","No / Not reported","classroom/ large group","School Staff",NA,NA,NA,NA
"125_4","125_4Nm","N","m","1","CORI,Grade 5,Volcano","No / Not reported","classroom/ large group","School Staff",7200,120,60,"Reported"
"125_4","125_4m",NA,"m","ctl","TI,Grade 5,Volcano","No / Not reported","classroom/ large group","School Staff",NA,NA,NA,NA
"126_1","126_1Ncm","N","cm","1","CORI (Low)","No / Not reported","classroom/ large group","School Staff",5400,60,90,"Reported"
"126_1","126_1cm",NA,"cm","ctl","TI (Low)","No / Not reported","classroom/ large group","School Staff",5400,60,90,NA
"126_2","126_2Ncm","N","cm","1","CORI (High)","No / Not reported","classroom/ large group","School Staff",5400,60,90,"Reported"
"126_2","126_2cm",NA,"cm","ctl","TI (High)","No / Not reported","classroom/ large group","School Staff",5400,60,90,NA
"127_7","127_7Nm","N","m","1","SEM-R,   East, G7","No / Not reported","classroom/ large group","School Staff",6800,160,42.5,"Reported"
"127_7","127_7m",NA,"m","ctl","Control, East, G7",NA,NA,NA,NA,NA,NA,NA
"127_8","127_8Nm","N","m","1","SEM-R,   East, G8","No / Not reported","classroom/ large group","School Staff",6800,160,42.5,"Reported"
"127_8","127_8m",NA,"m","ctl","Control, East, G8",NA,NA,NA,NA,NA,NA,NA
"127_6","127_6Nm","N","m","1","SEM-R,   West, G6","No / Not reported","classroom/ large group","School Staff",6800,160,42.5,"Reported"
"127_6","127_6m",NA,"m","ctl","Control, West G6",NA,NA,NA,NA,NA,NA,NA
"127_7","127_7Nm","N","m","1","SEM-R,   West, G7","No / Not reported","classroom/ large group","School Staff",6800,160,42.5,"Reported"
"127_7","127_7m",NA,"m","ctl","Control, West G7",NA,NA,NA,NA,NA,NA,NA
"127_8","127_8Nm","N","m","1","SEM-R,   West, G8","No / Not reported","classroom/ large group","School Staff",6800,160,42.5,"Reported"
"127_8","127_8m",NA,"m","ctl","Control, West, G8",NA,NA,NA,NA,NA,NA,NA
"127_6","127_6Nm","N","m","1","SEM-R,   South, G6","No / Not reported","classroom/ large group","School Staff",6800,160,42.5,"Reported"
"127_6","127_6m",NA,"m","ctl","Control, South, G6",NA,NA,NA,NA,NA,NA,NA
"127_7","127_7Nm","N","m","1","SEM-R,   South, G7","No / Not reported","classroom/ large group","School Staff",6800,160,42.5,"Reported"
"127_7","127_7m",NA,"m","ctl","Control, South, G7",NA,NA,NA,NA,NA,NA,NA
"127_8","127_8Nm","N","m","1","SEM-R,   South, G8","No / Not reported","classroom/ large group","School Staff",6800,160,42.5,"Reported"
"127_8","127_8m",NA,"m","ctl","Control, South, G8",NA,NA,NA,NA,NA,NA,NA
"127_6","127_6Nm","N","m","1","SEM-R,   North, G6","No / Not reported","classroom/ large group","School Staff",6800,160,42.5,"Reported"
"127_6","127_6m",NA,"m","ctl","Control, North G6",NA,NA,NA,NA,NA,NA,NA
"127_7","127_7Nm","N","m","1","SEM-R,   North, G7","No / Not reported","classroom/ large group","School Staff",6800,160,42.5,"Reported"
"127_7","127_7m",NA,"m","ctl","Control, North G7",NA,NA,NA,NA,NA,NA,NA
"127_8","127_8Nm","N","m","1","SEM-R,   North, G8","No / Not reported","classroom/ large group","School Staff",6800,160,42.5,"Reported"
"127_8","127_8m",NA,"m","ctl","Control, North, G8",NA,NA,NA,NA,NA,NA,NA
"128","128NVcm","NV","cm","1","CORI (time 1-2)","No / Not reported","classroom/ large group","School Staff",1800,20,90,"Reported"
"128","128m",NA,"m","ctl","TI (time 1-2)",NA,"classroom/ large group","School Staff",1800,20,90,NA
"129_1","129_1Nm","N","m","1","CORI (Grade3)","No / Not reported","classroom/ large group","School Staff",7650,85,90,"Reported"
"129_1","129_1m",NA,"m","ctl","Traditional (Grade3)","No / Not reported",NA,"School Staff",NA,NA,NA,NA
"129_2","129_2Nm","N","m","1","CORI (Grade5)","No / Not reported","classroom/ large group","School Staff",7650,85,90,"Reported"
"129_2","129_2m",NA,"m","ctl","Traditional (Grade 5)","No / Not reported",NA,"School Staff",NA,NA,NA,NA
"130","130Nm","N","m","1","Intervention","No / Not reported","classroom/ large group","Research Staff",405,9,45,"Reported"
"130","130bau",NA,NA,"ctl","Control (BAU)",NA,NA,NA,NA,NA,NA,NA
"131","131Vm","V","m","1","specific strategy value information","Yes (Including CAI)","small group (3–7 students)","Research Staff",525,15,35,"Reported"
"131","131Vm","V","m","2","general strategy value information","Yes (Including CAI)","small group (3–7 students)","Research Staff",525,15,35,"Reported"
"131","131Vm","V","m","3","specific plus general + strategy value information","Yes (Including CAI)","small group (3–7 students)","Research Staff",525,15,35,"Reported"
"131","131m",NA,"m","ctl","no strategy value information (instructional control)","Yes (Including CAI)","small group (3–7 students)","Research Staff",525,15,35,"Reported"
"132","132Vm","V","m","1","specific strategy value","Yes (Including CAI)","small group (3–7 students)","Research Staff",525,15,35,"Reported"
"132","132Tm","T","m","ctl","strategy effectiveness feedback","Yes (Including CAI)","small group (3–7 students)","Research Staff",525,15,35,"Reported"
"132","132VTm","VT","m","2","strategy value plus effectiveness feedback (combined)","Yes (Including CAI)","small group (3–7 students)","Research Staff",525,15,35,"Reported"
"133","133NGc","NG","c","1","CORI + RAVE-O + Wilson Reading Program","Yes (Including CAI)","small group (3–7 students)","School Staff",2400,25,120,"Reported"
"133","133c",NA,"c","ctl","incentives + RAVE-O + Wilson Reading Program","Yes (Including CAI)","small group (3–7 students)","School Staff",2400,25,120,"Reported"
"135","135NVGcm","NVG","cm","1","Fusion (year 1)","Yes (Including CAI)","small group (3–7 students)","School Staff",9000,180,50,"Reported"
