"id_sample","id_condition_int","cat_condition_type_int","id_es_int","chr_measure_name","is_measure_std_int","m_pre_int","sd_pre_int","n_pre_int","id_condition_ctl","cat_condition_type_ctl","id_es_ctl","m_pre_ctl","sd_pre_ctl","n_pre_ctl","m_post_int","m_post_ctl","sd_post_int","sd_post_ctl","n_post_int","n_post_ctl","m_delayed_int","m_delayed_ctl","sd_delayed_int","sd_delayed_ctl","n_delayed_int","n_delayed_ctl","num_month_of_delayed_int","num_month_of_delayed_ctl"
"101","101Ncm","1",2,"SRI PC = Standard Reading Inventory, Passage Comprehension;","YES - standardized",8.17,2.51,24,"101cm","ctl",3,8,2.24,23,9.54,8.17,2.93,2.31,24,23,NA,NA,NA,NA,NA,NA,NA,NA
"102","102c","1",4,"WJIII PC","YES - standardized",88.91,8.96,34,"102bau","ctl",8,87.19,6.97,37,88.91,89.06,8.91,6.59,34,36,NA,NA,NA,NA,NA,NA,NA,NA
"102","102c","1",5,"GMRT-RC","YES - standardized",88.86,12.3,34,"102bau","ctl",9,91.31,9.97,36,91.98,90.8,9.34,7.82,34,36,NA,NA,NA,NA,NA,NA,NA,NA
"102","102GTc","2",6,"WJIII PC","YES - standardized",86.79,6.96,38,"102bau","ctl",8,87.19,6.97,37,91.16,89.06,7.53,6.59,38,36,NA,NA,NA,NA,NA,NA,NA,NA
"102","102GTc","2",7,"GMRT-RC","YES - standardized",89.3,10.49,38,"102bau","ctl",9,91.31,9.97,36,91.88,90.8,6.38,7.82,38,36,NA,NA,NA,NA,NA,NA,NA,NA
"103","103c","2",10,"WRAT4 - Sentence comprehension","YES - standardized",98.33,10.6,18,"103bau","ctl",12,90.36,10.61,22,97.17,94.91,7.9,14.33,18,21,NA,NA,NA,NA,NA,NA,NA,NA
"103","103Tc","1",11,"WRAT4 - Sentence comprehension","YES - standardized",94.89,9.64,19,"103bau","ctl",12,90.36,10.61,22,100.47,94.91,9.97,14.33,19,21,NA,NA,NA,NA,NA,NA,NA,NA
"104","104NTm","1",13,"Summary test","NO - Not standardized",3.8,1.28,20,"104Gcm","ctl",17,3.95,1.46,20,7.5,4.83,2.18,1.52,20,20,"6.61","4",2.91,1.4,20,20,1.5,1.5
"104","104NTm","1",14,"Passage test","NO - Not standardized",6.55,2.28,20,"104Gcm","ctl",18,5.8,2.34,20,8.95,8.45,3.49,3.83,20,20,"9.5299999999999994","8.4",4.01,4.69,20,20,1.5,1.5
"104","104Nm","2",15,"Summary test","NO - Not standardized",3.61,1.72,19,"104Gcm","ctl",17,3.95,1.46,20,6.4,4.83,1.81,1.52,19,20,"5.47","4",2.72,1.4,19,20,1.5,1.5
"104","104Nm","2",16,"Passage test","NO - Not standardized",5.89,2.16,19,"104Gcm","ctl",18,5.8,2.34,20,7.84,8.45,3.83,3.83,19,20,"8.6300000000000008","8.4",4.87,4.69,19,20,1.5,1.5
"105","105Gm","1",19,"Comprehension Skill","NO - Not standardized",7.8,2.5,11,"105m","ctl",21,7.6,2.9,11,12.5,8.5,3.7,2.2,11,11,NA,NA,NA,NA,NA,NA,NA,NA
"105","105Gm","2",20,"Comprehension Skill","NO - Not standardized",7.8,1.9,11,"105m","ctl",21,7.6,2.9,11,11.5,8.5,3.4,2.2,11,11,NA,NA,NA,NA,NA,NA,NA,NA
"107","107Tm","1",25,"Post 1-Paragraph Summarization","NO - Not standardized",5.67,3.9,17,"107bau","ctl",31,7.9,3.99,21,12.72,9.81,5.18,5.34,17,21,NA,NA,NA,NA,NA,NA,NA,NA
"107","107Tm","1",26,"Post 2-Paragraph Summarization","NO - Not standardized",5.67,3.9,17,"107bau","ctl",32,7.9,3.99,21,13.44,8.66,4.91,3.95,17,21,NA,NA,NA,NA,NA,NA,NA,NA
"107","107Tm","2",27,"Post 1-Paragraph Summarization","NO - Not standardized",6.81,4.81,16,"107bau","ctl",31,7.9,3.99,21,11.41,9.81,6.61,5.34,16,21,NA,NA,NA,NA,NA,NA,NA,NA
"107","107Tm","2",28,"Post 2-Paragraph Summarization","NO - Not standardized",6.81,4.81,16,"107bau","ctl",32,7.9,3.99,21,11.56,8.66,6.55,3.95,16,21,NA,NA,NA,NA,NA,NA,NA,NA
"107","107m","3",29,"Post 1-Paragraph Summarization","NO - Not standardized",7,3.84,19,"107bau","ctl",31,7.9,3.99,21,9.73,9.81,4.49,5.34,19,21,NA,NA,NA,NA,NA,NA,NA,NA
"107","107m","3",30,"Post 2-Paragraph Summarization","NO - Not standardized",7,3.84,19,"107bau","ctl",32,7.9,3.99,21,9.36,8.66,5.62,3.95,19,21,NA,NA,NA,NA,NA,NA,NA,NA
"108","108Ncm","1",33,"GRADE Reading Comprehension","YES - standardized",NA,NA,NA,"108bau","ctl",34,NA,NA,NA,32.1,31.6,14.33,14.11,462,389,NA,NA,NA,NA,NA,NA,NA,NA
