"id_sample","id_condition_int","cat_condition_type_int","id_es_int","chr_measure_name","is_measure_std_int","m_delayed_int","sd_delayed_int","n_delayed_int","num_month_of_delayed_int","id_condition_ctl","cat_condition_type_ctl","id_es_ctl","is_measure_std_ctl","m_delayed_ctl","sd_delayed_ctl","n_delayed_ctl","num_month_of_delayed_ctl"
"101","101Ncm","1","2","SRI PC = Standard Reading Inventory, Passage Comprehension;","YES - standardized",NA,NA,NA,NA,"101cm","ctl","3","YES - standardized",NA,NA,NA,NA
"102","102c","1","4","WJIII PC","YES - standardized",NA,NA,NA,NA,"102bau","ctl","8","YES - standardized",NA,NA,NA,NA
"102","102c","1","5","GMRT-RC","YES - standardized",NA,NA,NA,NA,"102bau","ctl","9","YES - standardized",NA,NA,NA,NA
"102","102GTc","2","6","WJIII PC","YES - standardized",NA,NA,NA,NA,"102bau","ctl","8","YES - standardized",NA,NA,NA,NA
"102","102GTc","2","7","GMRT-RC","YES - standardized",NA,NA,NA,NA,"102bau","ctl","9","YES - standardized",NA,NA,NA,NA
"103","103c","2","10","WRAT4 - Sentence comprehension","YES - standardized",NA,NA,NA,NA,"103bau","ctl","12","YES - standardized",NA,NA,NA,NA
"103","103Tc","1","11","WRAT4 - Sentence comprehension","YES - standardized",NA,NA,NA,NA,"103bau","ctl","12","YES - standardized",NA,NA,NA,NA
"104","104NTm","1","13","Summary test","NO - Not standardized",6.61,2.91,20,1.5,"104Gcm","ctl","17","NO - Not standardized",4,1.4,20,1.5
"104","104NTm","1","14","Passage test","NO - Not standardized",9.53,4.01,20,1.5,"104Gcm","ctl","18","NO - Not standardized",8.4,4.69,20,1.5
"104","104Nm","2","15","Summary test","NO - Not standardized",5.47,2.72,19,1.5,"104Gcm","ctl","17","NO - Not standardized",4,1.4,20,1.5
"104","104Nm","2","16","Passage test","NO - Not standardized",8.63,4.87,19,1.5,"104Gcm","ctl","18","NO - Not standardized",8.4,4.69,20,1.5
"105","105Gm","1","19","Comprehension Skill","NO - Not standardized",NA,NA,NA,NA,"105m","ctl","21","NO - Not standardized",NA,NA,NA,NA
"105","105Gm","2","20","Comprehension Skill","NO - Not standardized",NA,NA,NA,NA,"105m","ctl","21","NO - Not standardized",NA,NA,NA,NA
"107","107Tm","1","25","Post 1-Paragraph Summarization","NO - Not standardized",NA,NA,NA,NA,"107bau","ctl","31","NO - Not standardized",NA,NA,NA,NA
"107","107Tm","1","26","Post 2-Paragraph Summarization","NO - Not standardized",NA,NA,NA,NA,"107bau","ctl","32","NO - Not standardized",NA,NA,NA,NA
"107","107Tm","2","27","Post 1-Paragraph Summarization","NO - Not standardized",NA,NA,NA,NA,"107bau","ctl","31","NO - Not standardized",NA,NA,NA,NA
