"id_sample","id_condition_int","cat_condition_type_int","id_es_int","chr_measure_name","is_measure_std_int","m_post_int","sd_post_int","n_post_int","id_condition_ctl","cat_condition_type_ctl","id_es_ctl","is_measure_std_ctl","m_post_ctl","sd_post_ctl","n_post_ctl"
"101","101Ncm","1",2,"SRI PC = Standard Reading Inventory, Passage Comprehension;","YES - standardized",9.54,2.93,24,"101cm","ctl",3,"YES - standardized",8.17,2.31,23
"102","102c","1",4,"WJIII PC","YES - standardized",88.91,8.91,34,"102bau","ctl",8,"YES - standardized",89.06,6.59,36
"102","102c","1",5,"GMRT-RC","YES - standardized",91.98,9.34,34,"102bau","ctl",9,"YES - standardized",90.8,7.82,36
"102","102GTc","2",6,"WJIII PC","YES - standardized",91.16,7.53,38,"102bau","ctl",8,"YES - standardized",89.06,6.59,36
"102","102GTc","2",7,"GMRT-RC","YES - standardized",91.88,6.38,38,"102bau","ctl",9,"YES - standardized",90.8,7.82,36
"103","103c","2",10,"WRAT4 - Sentence comprehension","YES - standardized",97.17,7.9,18,"103bau","ctl",12,"YES - standardized",94.91,14.33,21
"103","103Tc","1",11,"WRAT4 - Sentence comprehension","YES - standardized",100.47,9.97,19,"103bau","ctl",12,"YES - standardized",94.91,14.33,21
"104","104NTm","1",13,"Summary test","NO - Not standardized",7.5,2.18,20,"104Gcm","ctl",17,"NO - Not standardized",4.83,1.52,20
"104","104NTm","1",14,"Passage test","NO - Not standardized",8.95,3.49,20,"104Gcm","ctl",18,"NO - Not standardized",8.45,3.83,20
"104","104Nm","2",15,"Summary test","NO - Not standardized",6.4,1.81,19,"104Gcm","ctl",17,"NO - Not standardized",4.83,1.52,20
"104","104Nm","2",16,"Passage test","NO - Not standardized",7.84,3.83,19,"104Gcm","ctl",18,"NO - Not standardized",8.45,3.83,20
"105","105Gm","1",19,"Comprehension Skill","NO - Not standardized",12.5,3.7,11,"105m","ctl",21,"NO - Not standardized",8.5,2.2,11
"105","105Gm","2",20,"Comprehension Skill","NO - Not standardized",11.5,3.4,11,"105m","ctl",21,"NO - Not standardized",8.5,2.2,11
"107","107Tm","1",25,"Post 1-Paragraph Summarization","NO - Not standardized",12.72,5.18,17,"107bau","ctl",31,"NO - Not standardized",9.81,5.34,21
"107","107Tm","1",26,"Post 2-Paragraph Summarization","NO - Not standardized",13.44,4.91,17,"107bau","ctl",32,"NO - Not standardized",8.66,3.95,21
"107","107Tm","2",27,"Post 1-Paragraph Summarization","NO - Not standardized",11.41,6.61,16,"107bau","ctl",31,"NO - Not standardized",9.81,5.34,21
"107","107Tm","2",28,"Post 2-Paragraph Summarization","NO - Not standardized",11.56,6.55,16,"107bau","ctl",32,"NO - Not standardized",8.66,3.95,21
"107","107m","3",29,"Post 1-Paragraph Summarization","NO - Not standardized",9.73,4.49,19,"107bau","ctl",31,"NO - Not standardized",9.81,5.34,21
"107","107m","3",30,"Post 2-Paragraph Summarization","NO - Not standardized",9.36,5.62,19,"107bau","ctl",32,"NO - Not standardized",8.66,3.95,21
"108","108Ncm","1",33,"GRADE Reading Comprehension","YES - standardized",32.1,14.33,462,"108bau","ctl",34,"YES - standardized",31.6,14.11,389
"109_1","109_1Ncm","1",35,"* GRADE = Group Reading and Diagnostic Evaluation","YES - standardized",32.3,13.92,605,"109_1bau","ctl",36,"YES - standardized",30.7,13.86,530
"109_2","109_2Ncm","1",37,"* GRADE = Group Reading and Diagnostic Evaluation","YES - standardized",33.7,14.87,593,"109_2bau","ctl",38,"YES - standardized",32.3,13.83,535
"110","110NVGm","1",39,"NAPLAN Reading  test (National Assessment Program of Literacy and Numeracy)","YES - standardized",24.54,2.98,25.3333333333333,"110bau","ctl",43,"YES - standardized",17.8,4.93,25.3333333333333
"110","110NVGm","1",40,"Reading  comprehension  test","NO - Not standardized",66.63,30.28,25.3333333333333,"110bau","ctl",44,"NO - Not standardized",45.08,35.48,25.3333333333333
"110","110m","2",41,"NAPLAN Reading  test (National Assessment Program of Literacy and Numeracy)","YES - standardized",21.65,6.14,25.3333333333333,"110bau","ctl",43,"YES - standardized",17.8,4.93,25.3333333333333
"110","110m","2",42,"Reading  comprehension  test","NO - Not standardized",30.32,22.26,25.3333333333333,"110bau","ctl",44,"NO - Not standardized",45.08,35.48,25.3333333333333
"111","111Nm","1",45,"Post RC test","NO - Not standardized",82.22,18.12,32,"111bau","ctl",46,"NO - Not standardized",47.18,23.85,34
"112","112Nm","1",47,"Reading Comprehension Test","YES - standardized",21.47,5.75,155,"112m","ctl",48,"YES - standardized",21.66,6.02,172
"113","113Nm","1",49,"Gates Comprehension Test (level 4)","YES - standardized",516.6,28.39,164,"113bau","ctl",53,"YES - standardized",484,8.72,98.4
"113","113Nm","1",50,"Multiple text comprehension","NO - Not standardized",4.3,0.67,164,"113bau","ctl",54,"NO - Not standardized",2.67,0.58,98.4
"113","113m","2",51,"Gates Comprehension Test (level 4)","YES - standardized",484.86,16.78,229.6,"113bau","ctl",53,"YES - standardized",484,8.72,98.4
"113","113m","2",52,"Multiple text comprehension","NO - Not standardized",3,0,229.6,"113bau","ctl",54,"NO - Not standardized",2.67,0.58,98.4
"114","114Ncm","1",55,"Reading comprehension  Accuracy (from RAMA-the Israeli National Authority for Measurement and Evaluation (2015))","YES - standardized",84.55,8.77,29,"114bau","ctl",56,"YES - standardized",60.67,22.73,29
"115","115NVm","1",57,"RC  (SRT) pretest ONLY - Sentence Reading Test","YES - standardized",NA,NA,89,"115bau","ctl",61,"YES - standardized",NA,NA,90
"115","115NVm","1",58,"RC  (maze)","NO - Not standardized",22.04,7.19,89,"115bau","ctl",62,"NO - Not standardized",23.21,7.33,90
