"id_sample","id_condition_int","cat_condition_type_int","id_es_int","chr_measure_name","is_measure_std_int","m_pre_int","sd_pre_int","n_pre_int","id_condition_ctl","cat_condition_type_ctl","id_es_ctl","is_measure_std_ctl","m_pre_ctl","sd_pre_ctl","n_pre_ctl"
"101","101Ncm","1",2,"SRI PC = Standard Reading Inventory, Passage Comprehension;","YES - standardized",8.17,2.51,24,"101cm","ctl",3,"YES - standardized",8,2.24,23
"102","102c","1",4,"WJIII PC","YES - standardized",88.91,8.96,34,"102bau","ctl",8,"YES - standardized",87.19,6.97,37
"102","102c","1",5,"GMRT-RC","YES - standardized",88.86,12.3,34,"102bau","ctl",9,"YES - standardized",91.31,9.97,36
"102","102GTc","2",6,"WJIII PC","YES - standardized",86.79,6.96,38,"102bau","ctl",8,"YES - standardized",87.19,6.97,37
"102","102GTc","2",7,"GMRT-RC","YES - standardized",89.3,10.49,38,"102bau","ctl",9,"YES - standardized",91.31,9.97,36
"103","103c","2",10,"WRAT4 - Sentence comprehension","YES - standardized",98.33,10.6,18,"103bau","ctl",12,"YES - standardized",90.36,10.61,22
"103","103Tc","1",11,"WRAT4 - Sentence comprehension","YES - standardized",94.89,9.64,19,"103bau","ctl",12,"YES - standardized",90.36,10.61,22
"104","104NTm","1",13,"Summary test","NO - Not standardized",3.8,1.28,20,"104Gcm","ctl",17,"NO - Not standardized",3.95,1.46,20
"104","104NTm","1",14,"Passage test","NO - Not standardized",6.55,2.28,20,"104Gcm","ctl",18,"NO - Not standardized",5.8,2.34,20
"104","104Nm","2",15,"Summary test","NO - Not standardized",3.61,1.72,19,"104Gcm","ctl",17,"NO - Not standardized",3.95,1.46,20
"104","104Nm","2",16,"Passage test","NO - Not standardized",5.89,2.16,19,"104Gcm","ctl",18,"NO - Not standardized",5.8,2.34,20
"105","105Gm","1",19,"Comprehension Skill","NO - Not standardized",7.8,2.5,11,"105m","ctl",21,"NO - Not standardized",7.6,2.9,11
"105","105Gm","2",20,"Comprehension Skill","NO - Not standardized",7.8,1.9,11,"105m","ctl",21,"NO - Not standardized",7.6,2.9,11
"107","107Tm","1",25,"Post 1-Paragraph Summarization","NO - Not standardized",5.67,3.9,17,"107bau","ctl",31,"NO - Not standardized",7.9,3.99,21
