"id_sample","chr_grade","is_secondary","ave_age","pct_struggle_reader","pct_disability","pct_lowSES","pct_SLL","pct_boy","pct_minority","id_study","chr_authorname","chr_country","is_USA","chr_language","is_English","is_school_context","is_article","is_RCT","mean_num_dosage_total","mean_num_dosage_session_num","mean_num_dosage_session_length","mode_is_scripted","mode_is_small_group","mode_is_school_staff","mode_is_fidelity"
"101","2.71","Elementary",8.42,1,0.916666666666667,NA,NA,0.416666666666667,NA,"101","Orkin et al., 2017","USA","USA","English","English","After school Program","peer reviewed paper","RCT",3000,25,120,"Yes (Including CAI)","small group (3–7 students)","School Staff","Reported"
"101","1.83","Elementary",7.96,1,0.956521739130435,NA,NA,0.478260869565217,NA,"101","Orkin et al., 2017","USA","USA","English","English","After school Program","peer reviewed paper","RCT",3000,25,120,"Yes (Including CAI)","small group (3–7 students)","School Staff","Reported"
"102","4, 5","Elementary",10,1,NA,0.88235294117647,0.117647058823529,0.529411764705882,0.941176470588235,"102","Toste et al., 2019","USA","USA","English","English","School Environment","peer reviewed paper","RCT",1600,40,40,"Yes (Including CAI)","small group (3–7 students)","Research Staff","Reported"
"102","4, 5","Elementary",9.92105263157895,1,NA,0.894736842105263,0.31578947368421,0.473684210526316,0.973684210526316,"102","Toste et al., 2019","USA","USA","English","English","School Environment","peer reviewed paper","RCT",1600,40,40,"Yes (Including CAI)","small group (3–7 students)","Research Staff","Reported"
"102","4, 5","Elementary",9.95945945945946,1,NA,0.918918918918919,0.351351351351351,0.45945945945946,0.972972972972973,"102","Toste et al., 2019","USA","USA","English","English","School Environment","peer reviewed paper","RCT",1600,40,40,"Yes (Including CAI)","small group (3–7 students)","Research Staff","Reported"
"103","3, 4","Elementary",8.83898305084746,1,NA,0.6875,NA,0.491525423728814,0.9125,"103","Toste et al., 2017","USA","USA","English","English","School Environment","peer reviewed paper","RCT",900,24,37.5,"Yes (Including CAI)","small group (3–7 students)","Research Staff","Reported"
"103","3, 4","Elementary",8.83898305084746,1,NA,0.6875,NA,0.491525423728814,0.9125,"103","Toste et al., 2017","USA","USA","English","English","School Environment","peer reviewed paper","RCT",900,24,37.5,"Yes (Including CAI)","small group (3–7 students)","Research Staff","Reported"
"103","3, 4","Elementary",8.83898305084746,1,NA,0.6875,NA,0.491525423728814,0.9125,"103","Toste et al., 2017","USA","USA","English","English","School Environment","peer reviewed paper","RCT",900,24,37.5,"Yes (Including CAI)","small group (3–7 students)","Research Staff","Reported"
"104","7, 8, 9","Secondary",14.7375,1,1,NA,0.3,0.75,0.75,"104","Berkeley et al., 2011","USA","USA","English","English","School Environment","peer reviewed paper","RCT",360,12,30,"Yes (Including CAI)","small group (3–7 students)","unclassified","Reported"
"104","7, 8, 9","Secondary",14.7375,1,1,NA,0.421052631578947,0.578947368421053,0.947368421052632,"104","Berkeley et al., 2011","USA","USA","English","English","School Environment","peer reviewed paper","RCT",360,12,30,"Yes (Including CAI)","small group (3–7 students)","unclassified","Reported"
"104","7, 8, 9","Secondary",14.7375,1,1,NA,0.45,0.7,0.95,"104","Berkeley et al., 2011","USA","USA","English","English","School Environment","peer reviewed paper","RCT",360,12,30,"Yes (Including CAI)","small group (3–7 students)","unclassified","Reported"
"105","4, 5","Elementary",11.2,1,NA,0.85,0.636363636363636,0.454545454545455,0.88,"105","Schunk and Rice, 1989","USA","USA","English","English","School Environment","peer reviewed paper","RCT",525,15,35,"Yes (Including CAI)","small group (3–7 students)","Research Staff","Reported"
"105","4, 5","Elementary",11.2,1,NA,0.85,0.636363636363636,0.454545454545455,0.88,"105","Schunk and Rice, 1989","USA","USA","English","English","School Environment","peer reviewed paper","RCT",525,15,35,"Yes (Including CAI)","small group (3–7 students)","Research Staff","Reported"
"105","4, 5","Elementary",11.2,1,NA,0.85,0.636363636363636,0.454545454545455,0.88,"105","Schunk and Rice, 1989","USA","USA","English","English","School Environment","peer reviewed paper","RCT",525,15,35,"Yes (Including CAI)","small group (3–7 students)","Research Staff","Reported"
"107","4, 5","Elementary",12,1,1,NA,NA,0.653333333333333,0.1,"107","Borkowski et al., 1988","USA","USA","English","English","School Environment","peer reviewed paper","RCT",NA,5,NA,"No / Not reported","small group (3–7 students)","Research Staff","Not reported"
"107","4, 5","Elementary",12,1,1,NA,NA,0.653333333333333,0.1,"107","Borkowski et al., 1988","USA","USA","English","English","School Environment","peer reviewed paper","RCT",NA,5,NA,"No / Not reported","small group (3–7 students)","Research Staff","Not reported"
"107","4, 5","Elementary",12,1,1,NA,NA,0.653333333333333,0.1,"107","Borkowski et al., 1988","USA","USA","English","English","School Environment","peer reviewed paper","RCT",NA,5,NA,"No / Not reported","small group (3–7 students)","Research Staff","Not reported"
"107","4, 5","Elementary",12,1,1,NA,NA,0.653333333333333,0.1,"107","Borkowski et al., 1988","USA","USA","English","English","School Environment","peer reviewed paper","RCT",NA,5,NA,"No / Not reported","small group (3–7 students)","Research Staff","Not reported"
"108","6","Secondary",11.5,1,0.331168831168831,0.67965367965368,NA,0.582251082251082,0.125541125541126,"108","Cantrell et al., 2014","USA","USA","English","English","School Environment","peer reviewed paper","RCT",7448.1,540,41.3783333333333,"No / Not reported","classroom/ large group","School Staff","Reported"
"108","6","Secondary",11.5,1,0.262210796915167,0.655526992287918,NA,0.57840616966581,0.143958868894602,"108","Cantrell et al., 2014","USA","USA","English","English","School Environment","peer reviewed paper","RCT",7448.1,540,41.3783333333333,"No / Not reported","classroom/ large group","School Staff","Reported"
"109_1","6","Secondary",11.5,1,0.332231404958678,0.690909090909091,NA,0.59504132231405,0.130578512396694,"109","Cantrell et al., 2016","USA","USA","English","English","School Environment","peer reviewed paper","RCT",9519.525,720,52.88625,"No / Not reported","classroom/ large group","School Staff","Reported"
"109_1","6","Secondary",11.5,1,0.332231404958678,0.690909090909091,NA,0.59504132231405,0.130578512396694,"109","Cantrell et al., 2016","USA","USA","English","English","School Environment","peer reviewed paper","RCT",9519.525,720,52.88625,"No / Not reported","classroom/ large group","School Staff","Reported"
"109_1","6","Secondary",11.5,1,0.284905660377359,0.675471698113208,NA,0.583018867924528,0.139622641509434,"109","Cantrell et al., 2016","USA","USA","English","English","School Environment","peer reviewed paper","RCT",9519.525,720,52.88625,"No / Not reported","classroom/ large group","School Staff","Reported"
"109_1","6","Secondary",11.5,1,0.284905660377359,0.675471698113208,NA,0.583018867924528,0.139622641509434,"109","Cantrell et al., 2016","USA","USA","English","English","School Environment","peer reviewed paper","RCT",9519.525,720,52.88625,"No / Not reported","classroom/ large group","School Staff","Reported"
"109_2","9","Secondary",14.5,1,0.296795952782462,0.625632377740304,NA,0.586846543001686,0.116357504215852,"109","Cantrell et al., 2016","USA","USA","English","English","School Environment","peer reviewed paper","RCT",9519.525,720,52.88625,"No / Not reported","classroom/ large group","School Staff","Reported"
"109_2","9","Secondary",14.5,1,0.296795952782462,0.625632377740304,NA,0.586846543001686,0.116357504215852,"109","Cantrell et al., 2016","USA","USA","English","English","School Environment","peer reviewed paper","RCT",9519.525,720,52.88625,"No / Not reported","classroom/ large group","School Staff","Reported"
"109_2","9","Secondary",14.5,1,0.231775700934579,0.611214953271028,NA,0.551401869158878,0.132710280373832,"109","Cantrell et al., 2016","USA","USA","English","English","School Environment","peer reviewed paper","RCT",9519.525,720,52.88625,"No / Not reported","classroom/ large group","School Staff","Reported"
"109_2","9","Secondary",14.5,1,0.231775700934579,0.611214953271028,NA,0.551401869158878,0.132710280373832,"109","Cantrell et al., 2016","USA","USA","English","English","School Environment","peer reviewed paper","RCT",9519.525,720,52.88625,"No / Not reported","classroom/ large group","School Staff","Reported"
"110","5","Elementary",9.57,1,NA,1,NA,0.526315789473684,NA,"110","Ng et al., 2013","Australia","non-USA","English","English","School Environment","peer reviewed paper","RCT",1830,6,60,"No / Not reported","classroom/ large group","School Staff","Not reported"
"110","5","Elementary",9.57,1,NA,1,NA,0.526315789473684,NA,"110","Ng et al., 2013","Australia","non-USA","English","English","School Environment","peer reviewed paper","RCT",1830,6,60,"No / Not reported","classroom/ large group","School Staff","Not reported"
"110","5","Elementary",9.57,1,NA,1,NA,0.526315789473684,NA,"110","Ng et al., 2013","Australia","non-USA","English","English","School Environment","peer reviewed paper","RCT",1830,6,60,"No / Not reported","classroom/ large group","School Staff","Not reported"
"111","5","Elementary",11,NA,NA,1,1,0,NA,"111","Alhabahba et al., 2016","Jordan","non-USA","English","English","School Environment","peer reviewed paper","QED",4000,80,50,"No / Not reported","classroom/ large group","School Staff","Not reported"
"111","5","Elementary",11,NA,NA,1,1,0,NA,"111","Alhabahba et al., 2016","Jordan","non-USA","English","English","School Environment","peer reviewed paper","QED",4000,80,50,"No / Not reported","classroom/ large group","School Staff","Not reported"
"112","3","Elementary",8.5,NA,NA,NA,NA,NA,0.1,"112","Aarnoutse & Schellings, 2003","Netherlands","non-USA","Dutch","non-English","School Environment","peer reviewed paper","QED",NA,40,NA,"Yes (Including CAI)","classroom/ large group","School Staff","Reported"
"112","3","Elementary",8.5,NA,NA,NA,NA,NA,0.1,"112","Aarnoutse & Schellings, 2003","Netherlands","non-USA","Dutch","non-English","School Environment","peer reviewed paper","QED",NA,40,NA,"Yes (Including CAI)","classroom/ large group","School Staff","Reported"
"113","4","Elementary",9.5,NA,NA,NA,NA,NA,0.32,"113","Wigfield et al., 2008","USA","USA","English","English","School Environment","peer reviewed paper","QED",5400,60,90,"No / Not reported","classroom/ large group","School Staff","Reported"
"113","4","Elementary",9.5,NA,NA,NA,NA,NA,0.32,"113","Wigfield et al., 2008","USA","USA","English","English","School Environment","peer reviewed paper","QED",5400,60,90,"No / Not reported","classroom/ large group","School Staff","Reported"
"113","4","Elementary",9.5,NA,NA,NA,NA,NA,0.32,"113","Wigfield et al., 2008","USA","USA","English","English","School Environment","peer reviewed paper","QED",5400,60,90,"No / Not reported","classroom/ large group","School Staff","Reported"
"114","1","Elementary",7.5,0,0,0,0,0.448275862068966,0,"114","Nevo & Vaknin-Nusbaum, 2020","Israel","non-USA","Hebrew","non-English","School Environment","peer reviewed paper","QED",10800,120,45,"No / Not reported","classroom/ large group","School Staff","Not reported"
"114","1","Elementary",7.5,0,0,0,0,0.344827586206897,0,"114","Nevo & Vaknin-Nusbaum, 2020","Israel","non-USA","Hebrew","non-English","School Environment","peer reviewed paper","QED",10800,120,45,"No / Not reported","classroom/ large group","School Staff","Not reported"
"115","5","Elementary",10.5,0.2,0.0485436893203883,0,0.116504854368932,0.466019417475728,NA,"115","Andreassen & Braten, 2011","Norway","non-USA","Danish","non-English","School Environment","peer reviewed paper","QED",4050,90,45,"No / Not reported","classroom/ large group","School Staff","Reported"
"115","5","Elementary",10.5,0.2,0.0176991150442478,0,0.0176991150442478,0.433628318584071,NA,"115","Andreassen & Braten, 2011","Norway","non-USA","Danish","non-English","School Environment","peer reviewed paper","QED",4050,90,45,"No / Not reported","classroom/ large group","School Staff","Reported"
"117","3","Elementary",8.5,NA,NA,0.182432432432432,NA,0.47972972972973,0.243243243243243,"117","Guthrie et al. (S1), 2004","USA","USA","English","English","School Environment","peer reviewed paper","QED",5400,60,90,"No / Not reported","classroom/ large group","School Staff","Reported"
"117","3","Elementary",8.5,NA,NA,0.220657276995305,NA,0.47887323943662,0.272300469483568,"117","Guthrie et al. (S1), 2004","USA","USA","English","English","School Environment","peer reviewed paper","QED",5400,60,90,"No / Not reported","classroom/ large group","School Staff","Reported"
"118","3","Elementary",8.5,NA,0.157608695652174,NA,0.0205128205128205,0.56544502617801,0.477777777777778,"118","Guthrie et al. (S2), 2004","USA","USA","English","English","School Environment","peer reviewed paper","QED",5400,60,90,"No / Not reported","classroom/ large group","School Staff","Reported"
"118","3","Elementary",8.5,NA,0.104838709677419,NA,0.0269230769230769,0.501945525291829,0.441295546558704,"118","Guthrie et al. (S2), 2004","USA","USA","English","English","School Environment","peer reviewed paper","QED",5400,60,90,"No / Not reported","classroom/ large group","School Staff","Reported"
"118","3","Elementary",8.5,NA,0.203389830508475,NA,0,0.552631578947368,0.101694915254237,"118","Guthrie et al. (S2), 2004","USA","USA","English","English","School Environment","peer reviewed paper","QED",5400,60,90,"No / Not reported","classroom/ large group","School Staff","Reported"
"119","3, 4","Elementary",10.02,1,NA,NA,NA,0.44,NA,"119","Hautala et al., 2023","Finland","non-USA","Finnish","non-English","School Environment","peer reviewed paper","RCT",720,8,90,"No / Not reported","small group (3–7 students)","School Staff","Reported"
"119","3, 4","Elementary",9.89,1,NA,NA,NA,0.36734693877551,NA,"119","Hautala et al., 2023","Finland","non-USA","Finnish","non-English","School Environment","peer reviewed paper","RCT",720,8,90,"No / Not reported","small group (3–7 students)","School Staff","Reported"
"119","3, 4","Elementary",9.98,1,NA,NA,NA,0.457627118644068,NA,"119","Hautala et al., 2023","Finland","non-USA","Finnish","non-English","School Environment","peer reviewed paper","RCT",720,8,90,"No / Not reported","small group (3–7 students)","School Staff","Reported"
"120","1","Elementary",6.5,NA,0.0720720720720721,NA,0.189189189189189,0.502252252252252,0.801801801801802,"120","Kim et al., 2021","USA","USA","English","English","School Environment","peer reviewed paper","RCT",600,10,60,"No / Not reported","classroom/ large group","School Staff","Reported"
"120","1","Elementary",6.5,NA,0.0596330275229358,NA,0.238532110091743,0.458715596330275,0.756880733944954,"120","Kim et al., 2021","USA","USA","English","English","School Environment","peer reviewed paper","RCT",600,10,60,"No / Not reported","classroom/ large group","School Staff","Reported"
"121","5","Elementary",10.73,NA,NA,0.75,0,0.468085106382979,0,"121","Law, 2011","China","non-USA","Chinese","non-English","School Environment","peer reviewed paper","QED",300,5,60,"No / Not reported","small group (3–7 students)","School Staff","Not reported"
"121","5","Elementary",10.69,NA,NA,0.75,0,0.545454545454545,0,"121","Law, 2011","China","non-USA","Chinese","non-English","School Environment","peer reviewed paper","QED",300,5,60,"No / Not reported","small group (3–7 students)","School Staff","Not reported"
"121","5","Elementary",10.69,NA,NA,0.75,0,0.5,0,"121","Law, 2011","China","non-USA","Chinese","non-English","School Environment","peer reviewed paper","QED",300,5,60,"No / Not reported","small group (3–7 students)","School Staff","Not reported"
"123","6","Secondary",11.5,NA,NA,NA,0.374384236453202,0.6,0.75,"123","Taboada Barber et al., 2018","USA","USA","English","English","School Environment","peer reviewed paper","QED",1187.5,25,47.5,"No / Not reported","classroom/ large group","School Staff","Reported"
"123","6","Secondary",11.5,NA,NA,NA,0.374384236453202,0.6,0.75,"123","Taboada Barber et al., 2018","USA","USA","English","English","School Environment","peer reviewed paper","QED",1187.5,25,47.5,"No / Not reported","classroom/ large group","School Staff","Reported"
"124","7, 8","Secondary",14,1,NA,NA,NA,0.523809523809524,NA,"124","Wu et al., 2021","China","non-USA","Chinese","non-English","School Environment","peer reviewed paper","RCT",640,16,40,"No / Not reported","classroom/ large group","School Staff","Reported"
"124","7, 8","Secondary",14,1,NA,NA,NA,0.586206896551724,NA,"124","Wu et al., 2021","China","non-USA","Chinese","non-English","School Environment","peer reviewed paper","RCT",640,16,40,"No / Not reported","classroom/ large group","School Staff","Reported"
"125_1","3","Elementary",8.5,0.2,NA,NA,NA,0.537313432835821,NA,"125","Guthrie et al. 1999","USA","USA","English","English","School Environment","peer reviewed paper","QED",9000,150,60,"No / Not reported","classroom/ large group","School Staff","Reported"
"125_1","3","Elementary",8.5,0.2,NA,NA,NA,0.575757575757576,NA,"125","Guthrie et al. 1999","USA","USA","English","English","School Environment","peer reviewed paper","QED",9000,150,60,"No / Not reported","classroom/ large group","School Staff","Reported"
"125_2","3","Elementary",8.5,0.2,NA,NA,NA,0.537313432835821,NA,"125","Guthrie et al. 1999","USA","USA","English","English","School Environment","peer reviewed paper","QED",9000,150,60,"No / Not reported","classroom/ large group","School Staff","Reported"
"125_2","3","Elementary",8.5,0.2,NA,NA,NA,0.575757575757576,NA,"125","Guthrie et al. 1999","USA","USA","English","English","School Environment","peer reviewed paper","QED",9000,150,60,"No / Not reported","classroom/ large group","School Staff","Reported"
